norm_iri;content;content_clean
dio~di101-0302~1;"<sco>
    <sec>
      <par>
        <lno>Wo Gwest schau ṿịḷe<appalpha id=""footnotes-appalpha-dio-di101-0302-a"">a)</appalpha> // [---] / Begelman / 1 ∙ 5 ∙ 89</lno>
      </par>
    </sec>
  </sco>";Wo Gwest schau ṿịḷea) // [---] / Begelman / 1 ∙ 5 ∙ 89
dio~di101-0303~1;"<sco>
    <sec>
      <snr>I.</snr>
      <par>
        <lno>Ṣurexit<appalpha id=""footnotes-appalpha-dio-di101-0303-a"">a)</appalpha> ∙ Cristus ∙ de ∙ Sepulchro ∙ Alleluia<appalpha id=""footnotes-appalpha-dio-di101-0303-b"">b)</appalpha> / Qui ∙ pro Nobis ∙ pependit ∙ in ∙ Ligno ∙ Alleluia<appalpha id=""footnotes-appalpha-dio-di101-0303-c"">c)</appalpha></lno>
      </par>
    </sec>
    <sec>
      <snr>II.</snr>
      <par>
        <lno>An(n)o D(omi)ni 1 ∙ 5 ∙ 90 ∙ sundtag vor Michaeli den 23 Sept(embris) / starb der Edl vnd Vest Wolff Jacob Weissenfel<lig>de</lig>r zu hilck=/ersperg vff Obernpöring Hoffkirc<lig>he</lig>n Kematten Gụ̈ckhl/perg Ottlin<lig>ge</lig>n v(n)d Leitten seins alters ∙ 35 ∙ Jar <lig>de</lig>me Gott <lig>ge</lig>ned/ig v(n)d Barmhertzig<appalpha id=""footnotes-appalpha-dio-di101-0303-d"">d)</appalpha> / Sein welle Ame(n) </lno>
      </par>
    </sec>
  </sco>";I. Ṣurexita) ∙ Cristus ∙ de ∙ Sepulchro ∙ Alleluiab) / Qui ∙ pro Nobis ∙ pependit ∙ in ∙ Ligno ∙ Alleluiac) II. An(n)o D(omi)ni 1 ∙ 5 ∙ 90 ∙ sundtag vor Michaeli den 23 Sept(embris) / starb der Edl vnd Vest Wolff Jacob Weissenfelder zu hilck=/ersperg vff Obernpöring Hoffkirchen Kematten Gụ̈ckhl/perg Ottlingen v(n)d Leitten seins alters ∙ 35 ∙ Jar deme Gott gened/ig v(n)d Barmhertzigd) / Sein welle Ame(n)
dio~di101-0304~1;"<sco>
    <sec>
      <snr>I.</snr>
      <par>
        <lno>O rex Glorie Et Splendor <lig>AE</lig>ter(n)e Luminis Veni ad / Liberandum Nos Sede(n)tes in Tenebris et V(m)bra Mortis</lno>
      </par>
    </sec>
    <sec>
      <snr>II.</snr>
      <par>
        <lno>An(n)o D(omi)ni 1592 den 21̣ Marcij starb der Edl v(n)d Vest / Ott Hainrich Weissenfelder zu Hilckersberg vff Obernber=/ing, Hofkirchen C̣heṃatten Güklperg Öttling vnd Leitten / seines alters 26 ∙ Jar, dem Gott genedig vnd Barmhertzig / sein welle / Amen<appalpha id=""footnotes-appalpha-dio-di101-0304-a"">a)</appalpha></lno>
      </par>
    </sec>
  </sco>";I. O rex Glorie Et Splendor AEter(n)e Luminis Veni ad / Liberandum Nos Sede(n)tes in Tenebris et V(m)bra Mortis II. An(n)o D(omi)ni 1592 den 21̣ Marcij starb der Edl v(n)d Vest / Ott Hainrich Weissenfelder zu Hilckersberg vff Obernber=/ing, Hofkirchen C̣heṃatten Güklperg Öttling vnd Leitten / seines alters 26 ∙ Jar, dem Gott genedig vnd Barmhertzig / sein welle / Amena)
dio~di101-0305~1;"<sco>
    <sec>
      <snr>I.</snr>
      <par>
        <lno>INRI</lno>
      </par>
    </sec>
    <sec>
      <snr>II.</snr>
      <par>
        <lno>Anno 1593 den 26 Junij starb auf Altenortenburg / Conrad Kotzens vnnd Annee Braunin seiner haus=/frauen<appalpha id=""footnotes-appalpha-dio-di101-0305-a"">a)</appalpha> erstes Sönlein Namens Hanns Conrad / Seines alters 1 Jar 20 wochen vnnd / 4 tage wölches alhie Christlich / begraben Ligt.</lno>
      </par>
    </sec>
  </sco>";I. INRI II. Anno 1593 den 26 Junij starb auf Altenortenburg / Conrad Kotzens vnnd Annee Braunin seiner haus=/frauena) erstes Sönlein Namens Hanns Conrad / Seines alters 1 Jar 20 wochen vnnd / 4 tage wölches alhie Christlich / begraben Ligt.
dio~di101-0306~1;"<sco>
    <sec>
      <snr>I.</snr>
      <par>
        <lno>Hiob am .19. / </lno>
        <lno>Jn Meinem Ellendt war diß mein trost / </lno>
        <lno>Jch sprach er lebt der mich Erlest<appalpha id=""footnotes-appalpha-dio-di101-0306-a"">a)</appalpha>. / </lno>
        <lno>Auff den Jch Jn der Nott Vertrautt / </lno>
        <lno>Wirt mich Widerumb mit meiner Hauth. / </lno>
        <lno>Vmgeb(en) das Jch aus der Erdt</lno>
        <lno>vom Todt wider erweckhet Werdt. /</lno>
        <lno>Jn meinem Fleisch werd Jch Gott sech(en),</lno>
        <lno>ist gewislich war vnd wird gesch=/echen<appalpha id=""footnotes-appalpha-dio-di101-0306-b"">b)</appalpha>.</lno>
      </par>
    </sec>
    <sec>
      <snr>II.</snr>
      <par>
        <lno>Johannis am 3 Capitl<appalpha id=""footnotes-appalpha-dio-di101-0306-b"">b)</appalpha> / Gleich wie Moises Jn der Wüsste die schlange erhochet hat. also / sol auch des Menschen Son erhochet werden, auf das alle so an in / Glauben nicht verloren werden, sondern das Ewige leben Haben<appalpha id=""footnotes-appalpha-dio-di101-0306-c"">c)</appalpha></lno>
      </par>
    </sec>
    <sec>
      <snr>III.</snr>
      <par>
        <lno>I ∙ N ∙ R ∙ I ∙</lno>
      </par>
    </sec>
    <sec>
      <snr>IV.</snr>
      <par>
        <lno>Hie Ruhet der Ernuesst Fürsichtig vnnd Weiß Herr Sebastian Geidin<lig>ge</lig>r / gewester Camerer vnd Bürger zu Orttenburg Jst Jn Gott Entschlaff(en) / den Lesten tag Julij An(n)o 1593Jsten seines Alters beij 48 Jarn / auch neben Jne sein Eheliche hausfrau Magdalena Ein geborne / aignerin sambt Jren beden Erworbnen acht kindern starb / den &lt;..&gt; tag &lt;---&gt; Anno 1&lt;...&gt; Jar deren der Alme=/chtig gott vnd allen die Jn Cchristo<appalpha id=""footnotes-appalpha-dio-di101-0306-d"">d)</appalpha> entschla=/ffent seind vnd am Jüngsten tag ein / frelliche Aufersteung Verleichen / welle Amen.</lno>
      </par>
    </sec>
  </sco>";I. Hiob am .19. / Jn Meinem Ellendt war diß mein trost / Jch sprach er lebt der mich Erlesta). / Auff den Jch Jn der Nott Vertrautt / Wirt mich Widerumb mit meiner Hauth. / Vmgeb(en) das Jch aus der Erdt vom Todt wider erweckhet Werdt. / Jn meinem Fleisch werd Jch Gott sech(en), ist gewislich war vnd wird gesch=/echenb). II. Johannis am 3 Capitlb) / Gleich wie Moises Jn der Wüsste die schlange erhochet hat. also / sol auch des Menschen Son erhochet werden, auf das alle so an in / Glauben nicht verloren werden, sondern das Ewige leben Habenc) III. I ∙ N ∙ R ∙ I ∙ IV. Hie Ruhet der Ernuesst Fürsichtig vnnd Weiß Herr Sebastian Geidinger / gewester Camerer vnd Bürger zu Orttenburg Jst Jn Gott Entschlaff(en) / den Lesten tag Julij An(n)o 1593Jsten seines Alters beij 48 Jarn / auch neben Jne sein Eheliche hausfrau Magdalena Ein geborne / aignerin sambt Jren beden Erworbnen acht kindern starb / den <..> tag <---> Anno 1<...> Jar deren der Alme=/chtig gott vnd allen die Jn Cchristod) entschla=/ffent seind vnd am Jüngsten tag ein / frelliche Aufersteung Verleichen / welle Amen.
dio~di101-0307~1;"<sco>
    <sec>
      <snr>I.</snr>
      <par>
        <lno>+ ∙ GOT<appalpha id=""footnotes-appalpha-dio-di101-0307-a"">a)</appalpha> ∙ ZV LOB VND EHR IST DISE MONSTRA(N)TZ GEMACHT, AVS DER LÖBLICHEN BRVDERSC<lig>HA</lig>FT ALER C<lig>HR</lig>ISTBL<lig>AV</lig>BIGEN SEELEN ∙ IN ∙ / + ATERSKIRC<lig>HENE</lig>R<appalpha id=""footnotes-appalpha-dio-di101-0307-b"">b)</appalpha> PFAR DA IOHAN H<lig>AR</lig>TMAN PF<lig>AR</lig>RER WAR ∙ 1593 ∙</lno>
      </par>
    </sec>
    <sec>
      <snr>II.</snr>
      <par>
        <lno>INRI</lno>
      </par>
    </sec>
  </sco>";I. + ∙ GOTa) ∙ ZV LOB VND EHR IST DISE MONSTRA(N)TZ GEMACHT, AVS DER LÖBLICHEN BRVDERSCHAFT ALER CHRISTBLAVBIGEN SEELEN ∙ IN ∙ / + ATERSKIRCHENERb) PFAR DA IOHAN HARTMAN PFARRER WAR ∙ 1593 ∙ II. INRI
dio~di101-0308~1;"<sco>
    <sec>
      <par>
        <lno>Adi<appalpha id=""footnotes-appalpha-dio-di101-0308-a"">a)</appalpha> den ∙ 11 ∙ Marti Anno / 1 ∙ 5 ∙ 95 ∙ Jar ist ein Eysgis / gewesen welche als hoch / gangen wie dise hand vnd / Creytz hieunden gezaichnet / anweist Gott sey ferner dafier</lno>
      </par>
    </sec>
  </sco>";Adia) den ∙ 11 ∙ Marti Anno / 1 ∙ 5 ∙ 95 ∙ Jar ist ein Eysgis / gewesen welche als hoch / gangen wie dise hand vnd / Creytz hieunden gezaichnet / anweist Gott sey ferner dafier
dio~di101-0309~1;"<sco>
    <sec>
      <par>
        <lno>Jm iar 1595 hernach</lno>
        <lno>Als diss, wie hirundt vermelt, geschach</lno>
        <lno>Vnd das werkh wardt auffgericht gar</lno>
        <lno>Wolf[---]anndt der erste Organist war<appalpha id=""footnotes-appalpha-dio-di101-0309-a"">a)</appalpha> .</lno>
        <lno>[Als] man zeltt Nach Christie Geburt für war</lno>
        <lno>[1 ∙] 5 ∙ 94 Jar ∙</lno>
        <lno>[---] Manets tag ∙</lno>
        <lno>[---] schalckhamer wie ich sag ∙</lno>
        <lno>[ai]n Bürger und gastgeb so frumb ∙</lno>
        <lno>[d]er hat von seinem Aigenthomb ∙</lno>
        <lno>[s]o Er jetzt wolt schaiden aus diser Welt ∙</lno>
        <lno>[d]em gottshaus hie verschafft in barm gelt ∙</lno>
        <lno>[h]under Taller wie ich euch bericht ∙</lno>
        <lno>Darumb dis werckhl er kaufft wie man sicht ∙</lno>
        <lno>[D]es vber ich in des gottshaus nucz vnd frumb ∙</lno>
        <lno>Gewendet ist in ainer Sumb ∙</lno>
        <lno>Gott geb Jme darumb den ewigen Lon ∙</lno>
        <lno>Jn seinem allher höchsten Thron · Amen ·</lno>
        <lno>Jer lieben bürger folget auch</lno>
        <lno>Her nach<appalpha id=""footnotes-appalpha-dio-di101-0309-b"">b)</appalpha> ∙</lno>
      </par>
    </sec>
  </sco>";Jm iar 1595 hernach Als diss, wie hirundt vermelt, geschach Vnd das werkh wardt auffgericht gar Wolf[---]anndt der erste Organist wara) . [Als] man zeltt Nach Christie Geburt für war [1 ∙] 5 ∙ 94 Jar ∙ [---] Manets tag ∙ [---] schalckhamer wie ich sag ∙ [ai]n Bürger und gastgeb so frumb ∙ [d]er hat von seinem Aigenthomb ∙ [s]o Er jetzt wolt schaiden aus diser Welt ∙ [d]em gottshaus hie verschafft in barm gelt ∙ [h]under Taller wie ich euch bericht ∙ Darumb dis werckhl er kaufft wie man sicht ∙ [D]es vber ich in des gottshaus nucz vnd frumb ∙ Gewendet ist in ainer Sumb ∙ Gott geb Jme darumb den ewigen Lon ∙ Jn seinem allher höchsten Thron · Amen · Jer lieben bürger folget auch Her nachb) ∙
dio~di101-0310~1;"<sco>
    <sec>
      <par>
        <lno>Anno d(omi)ni 1595 hat Herr / Martin Gerhold Chorherr / ahie<appalpha id=""footnotes-appalpha-dio-di101-0310-a"">a)</appalpha> zu Vilszhouen dissen / hindern vnd vordern Ganng / von Neuem erpauet<appalpha id=""footnotes-appalpha-dio-di101-0310-b"">b)</appalpha></lno>
      </par>
    </sec>
  </sco>";Anno d(omi)ni 1595 hat Herr / Martin Gerhold Chorherr / ahiea) zu Vilszhouen dissen / hindern vnd vordern Ganng / von Neuem erpauetb)
dio~di101-0311~1;"<sco>
<sec>

<par>
<lno>Dvrch Das Fever Bin Ich Geflossn</lno>
<lno>Dionisi Schvlthes In Passav Hatt Mich Goßn.</lno>
<lno>1596.</lno>
</par>
</sec>
</sco>";Dvrch Das Fever Bin Ich Geflossn Dionisi Schvlthes In Passav Hatt Mich Goßn. 1596.
dio~di101-0312~1;"<sco>
    <sec>
      <snr>I.</snr>
      <par>
        <lno>Meine Prüeder vnd / Schwöstern<appalpha id=""footnotes-appalpha-dio-di101-0312-a"">a)</appalpha> / Hanss Weindl / Zimprecht Weindl / Christoff Weindl / Michael Weindl<appalpha id=""footnotes-appalpha-dio-di101-0312-b"">b)</appalpha> // Barbara † / Siwilla † / Magdalena</lno>
      </par>
    </sec>
    <sec>
      <snr>II.</snr>
      <par>
        <lno>Christus hat einmal für vnsere Sündt gelitten / der Gerecht für die vngerechten auff das er / vnns zu Gott brechte ∙ 1 ∙ Pet(rus) ∙ 3 ∙</lno>
      </par>
    </sec>
    <sec>
      <snr>III.</snr>
      <par>
        <lno>Anno D(omi)nj . 15&lt;..&gt; den &lt;---&gt;<appalpha id=""footnotes-appalpha-dio-di101-0312-c"">c)</appalpha> Starb / der Erwar vnd Firnem Joachim Weindl / Burger alhie zu Ortenburg ∙ Anno D(omi)nj . / 1 ∙ 5 &lt;97&gt; den &lt;9ten NOVEMER<appalpha id=""footnotes-appalpha-dio-di101-0312-d"">d)</appalpha>&gt; Starb die Erbar / vnd Tugenthafft Fraw Barbara Dreut=/tin sein Eheliche Haussfraw denen Gott / genedig sein wölle Amen</lno>
      </par>
    </sec>
    <sec>
      <snr>IV.</snr>
      <par>
        <lno>Vlrich / Hanss † / Sebastian † / Zimprecht † / Sebastian † / Wolffgang<appalpha id=""footnotes-appalpha-dio-di101-0312-b"">b)</appalpha> † // Elisabetht / Anna † / Margret † / Carula † / Siwilla † / Regina †</lno>
      </par>
    </sec>
  </sco>";I. Meine Prüeder vnd / Schwösterna) / Hanss Weindl / Zimprecht Weindl / Christoff Weindl / Michael Weindlb) // Barbara † / Siwilla † / Magdalena II. Christus hat einmal für vnsere Sündt gelitten / der Gerecht für die vngerechten auff das er / vnns zu Gott brechte ∙ 1 ∙ Pet(rus) ∙ 3 ∙ III. Anno D(omi)nj . 15<..> den <--->c) Starb / der Erwar vnd Firnem Joachim Weindl / Burger alhie zu Ortenburg ∙ Anno D(omi)nj . / 1 ∙ 5 <97> den <9ten NOVEMERd)> Starb die Erbar / vnd Tugenthafft Fraw Barbara Dreut=/tin sein Eheliche Haussfraw denen Gott / genedig sein wölle Amen IV. Vlrich / Hanss † / Sebastian † / Zimprecht † / Sebastian † / Wolffgangb) † // Elisabetht / Anna † / Margret † / Carula † / Siwilla † / Regina †
dio~di101-0313~1;"<sco>
    <sec>
      <p>
        <strong>I.</strong>
      </p>
      <par>
        <lno>Also hat Gott die / welt geliebt das er sein / ainigen Sun gab auff das / alle die an in glauben, nicht / verloren werden Sunder, / das Ewig leben haben<appalpha id=""footnotes-appalpha-dio-di101-0313-a"">a)</appalpha> ∙ / Joh(annes) am 3 Cap(itel)</lno>
      </par>
    </sec>
    <sec>
      <p>
        <strong>II. Wappenbeischriften:</strong>
      </p>
      <par>
        <table>
          <row>
            <cell>
              <entry>∙ Marschalckh<appnum id=""footnotes-appnum-dio-di101-0313-1"">1)</appnum> ∙</entry>
            </cell>
            <cell>
              <entry>∙ Pietzenau<appnum id=""footnotes-appnum-dio-di101-0313-2"">2)</appnum> ∙</entry>
            </cell>
          </row>
          <row>
            <cell>
              <entry>∙ Fröschl<appnum id=""footnotes-appnum-dio-di101-0313-3"">3)</appnum> ∙</entry>
            </cell>
            <cell>
              <entry>∙ Fraintsperg<appnum id=""footnotes-appnum-dio-di101-0313-4"">4)</appnum> ∙</entry>
            </cell>
          </row>
          <row>
            <cell>
              <entry>Marschalckh v(on) Papenhaim<appnum id=""footnotes-appnum-dio-di101-0313-5"">5)</appnum></entry>
            </cell>
            <cell>
              <entry>[Preysing]<appnum id=""footnotes-appnum-dio-di101-0313-6"">6)</appnum></entry>
            </cell>
          </row>
          <row>
            <cell>
              <entry>. Laming<appnum id=""footnotes-appnum-dio-di101-0313-7"">7)</appnum> .</entry>
            </cell>
            <cell>
              <entry>∙ waltéckh<appnum id=""footnotes-appnum-dio-di101-0313-8"">8)</appnum> .</entry>
            </cell>
          </row>
        </table>
      </par>
    </sec>
    <sec>
      <p>
        <strong>III.</strong>
      </p>
      <par>
        <lno>Alhie Ligt Begraben der Edl vnnd Gestrenng Herr Hannß Wolf, der Lesste des / VhrAllten Adelichen Herkhomen Namen vnnd stamens deren von Schwartzenstain / zum Fürsstenstain, vnnd Englburg, dere<appalpha id=""footnotes-appalpha-dio-di101-0313-b"">b)</appalpha> die Wolgebornn Fraw Martha gebornne / von Mächßlrain, Freyn zu Walteckh<appalpha id=""footnotes-appalpha-dio-di101-0313-c"">c)</appalpha> zw<appalpha id=""footnotes-appalpha-dio-di101-0313-b"">b)</appalpha> ainer Gemachl gehebt<appalpha id=""footnotes-appalpha-dio-di101-0313-c"">c)</appalpha>, Welcher zw Passaw / In Gott Seeligclich verschiden Ist den 24 Manats tag Januarij An(n)o 1599 / deme der Almechtig Gott Genedig vnnd Barmhertzig sein vnnd / Neben anndern Christglaubigen am Jungsten tag ain freliche / Aufersteung verleichen welle Amen.</lno>
      </par>
    </sec>
  </sco>";I. Also hat Gott die / welt geliebt das er sein / ainigen Sun gab auff das / alle die an in glauben, nicht / verloren werden Sunder, / das Ewig leben habena) ∙ / Joh(annes) am 3 Cap(itel) II. Wappenbeischriften: ∙ Marschalckh1) ∙ ∙ Pietzenau2) ∙ ∙ Fröschl3) ∙ ∙ Fraintsperg4) ∙ Marschalckh v(on) Papenhaim5) [Preysing]6) . Laming7) . ∙ waltéckh8) . III. Alhie Ligt Begraben der Edl vnnd Gestrenng Herr Hannß Wolf, der Lesste des / VhrAllten Adelichen Herkhomen Namen vnnd stamens deren von Schwartzenstain / zum Fürsstenstain, vnnd Englburg, dereb) die Wolgebornn Fraw Martha gebornne / von Mächßlrain, Freyn zu Walteckhc) zwb) ainer Gemachl gehebtc), Welcher zw Passaw / In Gott Seeligclich verschiden Ist den 24 Manats tag Januarij An(n)o 1599 / deme der Almechtig Gott Genedig vnnd Barmhertzig sein vnnd / Neben anndern Christglaubigen am Jungsten tag ain freliche / Aufersteung verleichen welle Amen.
dio~di101-0314~1;"<sco>
<sec>

<par>
<lno>INRI</lno>
</par>
</sec>
</sco>";INRI
dio~di101-0315~1;"<sco>
<sec>

<par>
<lno>15 SE 99</lno>
</par>
</sec>
</sco>";15 SE 99
dio~di101-0316~1;"<sco>
    <sec>
      <snr>I.</snr>
      <par>
        <lno>D(EO) / O(PTIMO) M(AXIMO) S(ACRVM) / IOACHIMVS<appalpha id=""footnotes-appalpha-dio-di101-0316-a"">a)</appalpha> COM(ES) IM=/PERI<appalpha id=""footnotes-appalpha-dio-di101-0316-b"">b)</appalpha> VET(ERIS) PROSAPI<lig>AE</lig> OR=/TENB(VRGICAE) NAT(VS) MATTICHOVI<lig>AE</lig> A(NN)O<appalpha id=""footnotes-appalpha-dio-di101-0316-c"">c)</appalpha> M . D . XXX . / VI . SEPT(EMBRIS) P(AT)RE COM(ITE) CHRISTOPHORO, MATRE / ANNA FIRMIANA<appalpha id=""footnotes-appalpha-dio-di101-0316-d"">d)</appalpha> / CONIVNX PRIMA FVIT VRSVLA FVGGERIANA, QV<lig>AE</lig> / PEPERIT FILIV(M) VNICVM ANTHONIVM A(NN)O<appalpha id=""footnotes-appalpha-dio-di101-0316-c"">c)</appalpha> M . D . L . QVI / OB<lig>II</lig>T<appalpha id=""footnotes-appalpha-dio-di101-0316-e"">e)</appalpha> A(NN)O<appalpha id=""footnotes-appalpha-dio-di101-0316-c"">c)</appalpha> M . D . LXXIII . MA<lig>II</lig><appalpha id=""footnotes-appalpha-dio-di101-0316-e"">e)</appalpha> XXIII . EX QVO ET DOROTHEA CO(MITISSA) / NASSOV(IAE) VIDI NEPOTEM POSTHVMV(M) BREVISS(IMAE) VIT<lig>AE</lig> . ALTERA CONIV(N)X<appalpha id=""footnotes-appalpha-dio-di101-0316-f"">f)</appalpha> / LVCIA EX PINCERNIS H<lig>AE</lig>REDIT(ARIIS) IMPERI(I) SEMP(ER) LIBERIS LIMBVRG(IS) ME=/CVM ANNOS XXVIII CONIVNCTISS(IMA) ET OBSEQVENTISS(IMA) ORTODOXA<appalpha id=""footnotes-appalpha-dio-di101-0316-g"">g)</appalpha> / CVM ORTHODOXO VIXIT, MIHIQ(VE) TAM IN PROSPERIS QVAM ADVER=/SIS PIAR(VM) ET FIDELIVM CONIVGVM MORE INDEFESSA ADSTES FVIT / ADITIONIB(VS) MEIS EXVLIS INSTAR XXVI. ANNOS, AMORE LIB=/ERTATIS A<appalpha id=""footnotes-appalpha-dio-di101-0316-h"">h)</appalpha> MAIORIB(VS) ACCEPT<lig>AE</lig> ET STVDIO ORTHODOX<lig>AE</lig> / RELIG(IONIS) ABFVI: FRVGALI, AT TAMEN ME<lig>AE</lig> PROSAPI<lig>AE</lig> CONVE=/NIENTI VITA CONTENT(VS) IN PVBLICIS COMITIIS S. IMPER<lig>II</lig><appalpha id=""footnotes-appalpha-dio-di101-0316-e"">e)</appalpha> STA=/TVVMQ(VE) DE LIBERATIONIB(VS) VNDECIES PR<lig>AE</lig>SENS FVI, ET PVBLIC=/VM BONVM, QVOAD POTVI, PROMOVERE STVDVI. TANDEM / CONFECT(VS) <lig>AE</lig>RVMNIS ET SENIO NORIBERG<lig>AE</lig><appalpha id=""footnotes-appalpha-dio-di101-0316-i"">i)</appalpha> VIT<lig>AE</lig> FINE(M) / CLAVSI, COMMENDANS ANIMAM MEA(M) CHR(IST)O SERVATORI / A(NN)O<appalpha id=""footnotes-appalpha-dio-di101-0316-c"">c)</appalpha> M . DC . 19 . MART<lig>II</lig><appalpha id=""footnotes-appalpha-dio-di101-0316-e"">e)</appalpha> . QVOD MORTALE FVIT, SEPVLT=/VM ORTENB(VRGO) IN MONVM(ENTO) GENTILITIO QVOD VI=/VENS MIHI CONSTRVXERAM, IN SORTE / BEATOR(VM) INTEGER MOX / RESVRRECTVRVS.</lno>
      </par>
    </sec>
    <sec>
      <snr>II.</snr>
      <par>
        <lno>INVENI PORTVM, CVR<lig>AE</lig> SENIVMQ(VE) VALETE,</lno>
        <lno>NIL MIHI VOBISCVM<appalpha id=""footnotes-appalpha-dio-di101-0316-j"">j)</appalpha>, PLACIDA NVNC PACE QVIESCO</lno>
      </par>
    </sec>
  </sco>";I. D(EO) / O(PTIMO) M(AXIMO) S(ACRVM) / IOACHIMVSa) COM(ES) IM=/PERIb) VET(ERIS) PROSAPIAE OR=/TENB(VRGICAE) NAT(VS) MATTICHOVIAE A(NN)Oc) M . D . XXX . / VI . SEPT(EMBRIS) P(AT)RE COM(ITE) CHRISTOPHORO, MATRE / ANNA FIRMIANAd) / CONIVNX PRIMA FVIT VRSVLA FVGGERIANA, QVAE / PEPERIT FILIV(M) VNICVM ANTHONIVM A(NN)Oc) M . D . L . QVI / OBIITe) A(NN)Oc) M . D . LXXIII . MAIIe) XXIII . EX QVO ET DOROTHEA CO(MITISSA) / NASSOV(IAE) VIDI NEPOTEM POSTHVMV(M) BREVISS(IMAE) VITAE . ALTERA CONIV(N)Xf) / LVCIA EX PINCERNIS HAEREDIT(ARIIS) IMPERI(I) SEMP(ER) LIBERIS LIMBVRG(IS) ME=/CVM ANNOS XXVIII CONIVNCTISS(IMA) ET OBSEQVENTISS(IMA) ORTODOXAg) / CVM ORTHODOXO VIXIT, MIHIQ(VE) TAM IN PROSPERIS QVAM ADVER=/SIS PIAR(VM) ET FIDELIVM CONIVGVM MORE INDEFESSA ADSTES FVIT / ADITIONIB(VS) MEIS EXVLIS INSTAR XXVI. ANNOS, AMORE LIB=/ERTATIS Ah) MAIORIB(VS) ACCEPTAE ET STVDIO ORTHODOXAE / RELIG(IONIS) ABFVI: FRVGALI, AT TAMEN MEAE PROSAPIAE CONVE=/NIENTI VITA CONTENT(VS) IN PVBLICIS COMITIIS S. IMPERIIe) STA=/TVVMQ(VE) DE LIBERATIONIB(VS) VNDECIES PRAESENS FVI, ET PVBLIC=/VM BONVM, QVOAD POTVI, PROMOVERE STVDVI. TANDEM / CONFECT(VS) AERVMNIS ET SENIO NORIBERGAEi) VITAE FINE(M) / CLAVSI, COMMENDANS ANIMAM MEA(M) CHR(IST)O SERVATORI / A(NN)Oc) M . DC . 19 . MARTIIe) . QVOD MORTALE FVIT, SEPVLT=/VM ORTENB(VRGO) IN MONVM(ENTO) GENTILITIO QVOD VI=/VENS MIHI CONSTRVXERAM, IN SORTE / BEATOR(VM) INTEGER MOX / RESVRRECTVRVS. II. INVENI PORTVM, CVRAE SENIVMQ(VE) VALETE, NIL MIHI VOBISCVMj), PLACIDA NVNC PACE QVIESCO
dio~di101-0317~1;"<sco>
    <sec>
      <snr>I.</snr>
      <par>
        <lno>Mit Herrlichkeit und Ehre hast Du sie gekrönt, o Herr und sie gesetzt über deiner Hände Werk. Ps(alm) 8, 6-7.</lno>
      </par>
    </sec>
    <sec>
      <snr>II.</snr>
      <par>
        <lno>Als IESUS<appalpha id=""footnotes-appalpha-dio-di101-0317-a"">a)</appalpha> und die Mutter rein</lno>
        <lno>zum Hochzeitsfest geladen,</lno>
        <lno>Aus Wasser schaffet ihnen Wein</lno>
        <lno>des Heilands Allmacht Gnaden.</lno>
        <lno>So lade jedes bräutlich Paar</lno>
        <lno>die heiligsten Hochzeitsgäste,</lno>
        <lno>Das schaffet bis ins Jubeljahr </lno>
        <lno>die Eh' zum Freudenfeste, </lno>
        <lno>der ird'schen Liebe Wasserquell</lno>
        <lno>wird dann zu köstlich' Weine</lno>
        <lno>der heiligen Liebe klar und hell,</lno>
        <lno>zum Segen der Gemeine.</lno>
      </par>
    </sec>
  </sco>";I. Mit Herrlichkeit und Ehre hast Du sie gekrönt, o Herr und sie gesetzt über deiner Hände Werk. Ps(alm) 8, 6-7. II. Als IESUSa) und die Mutter rein zum Hochzeitsfest geladen, Aus Wasser schaffet ihnen Wein des Heilands Allmacht Gnaden. So lade jedes bräutlich Paar die heiligsten Hochzeitsgäste, Das schaffet bis ins Jubeljahr die Eh' zum Freudenfeste, der ird'schen Liebe Wasserquell wird dann zu köstlich' Weine der heiligen Liebe klar und hell, zum Segen der Gemeine.
